0.000 0.000 1.000
0.010 0.000 1.000
0.030 0.000 1.000
0.050 0.000 1.000
0.070 0.000 1.000
0.090 0.000 1.000
0.110 0.000 1.000
0.130 0.000 1.000
0.150 0.000 1.000
0.170 0.000 1.000
0.190 0.000 1.000
0.210 0.000 1.000
0.230 0.000 1.000
0.250 0.000 1.000
0.270 0.000 1.000
0.290 0.000 1.000
0.310 0.000 1.000
0.330 0.000 1.000
0.350 0.000 1.000
0.370 0.000 1.000
0.390 0.000 1.000
0.410 0.000 1.000
0.430 0.000 1.000
0.450 0.000 1.000
0.470 0.000 1.000
0.490 0.000 1.000
0.510 0.000 1.000
0.530 0.000 1.000
0.550 0.000 1.000
0.570 0.000 1.000
0.590 0.000 1.000
0.610 0.000 1.000
0.630 0.000 1.000
0.650 0.000 1.000
0.670 0.000 1.000
0.690 0.000 1.000
0.710 0.000 1.000
0.730 0.000 1.000
0.750 0.000 1.000
0.770 0.000 1.000
0.790 0.000 1.000
0.810 0.000 1.000
0.830 0.000 1.000
0.850 0.000 1.000
0.870 0.000 1.000
0.890 0.000 1.000
0.910 0.000 1.000
0.930 0.000 1.000
0.950 0.000 1.000
0.970 0.000 1.000
0.990 0.000 1.000
1.000 0.000 1.000
0.000 0.010 1.000
0.010 0.010 0.999
0.030 0.010 0.998
0.050 0.010 0.997
0.070 0.010 0.996
0.090 0.010 0.995
0.110 0.010 0.995
0.130 0.010 0.994
0.150 0.010 0.993
0.170 0.010 0.992
0.190 0.010 0.991
0.210 0.010 0.990
0.230 0.010 0.989
0.250 0.010 0.988
0.270 0.010 0.987
0.290 0.010 0.986
0.310 0.010 0.985
0.330 0.010 0.985
0.350 0.010 0.984
0.370 0.010 0.983
0.390 0.010 0.982
0.410 0.010 0.981
0.430 0.010 0.980
0.450 0.010 0.979
0.470 0.010 0.977
0.490 0.010 0.976
0.510 0.010 0.975
0.530 0.010 0.974
0.550 0.010 0.973
0.570 0.010 0.971
0.590 0.010 0.970
0.610 0.010 0.968
0.630 0.010 0.966
0.650 0.010 0.964
0.670 0.010 0.962
0.690 0.010 0.960
0.710 0.010 0.957
0.730 0.010 0.954
0.750 0.010 0.950
0.770 0.010 0.946
0.790 0.010 0.942
0.810 0.010 0.936
0.830 0.010 0.929
0.850 0.010 0.920
0.870 0.010 0.909
0.890 0.010 0.894
0.910 0.010 0.873
0.930 0.010 0.841
0.950 0.010 0.790
0.970 0.010 0.698
0.990 0.010 0.500
1.000 0.010 0.000
0.000 0.030 1.000
0.010 0.030 0.998
0.030 0.030 0.996
0.050 0.030 0.995
0.070 0.030 0.993
0.090 0.030 0.991
0.110 0.030 0.989
0.130 0.030 0.987
0.150 0.030 0.985
0.170 0.030 0.984
0.190 0.030 0.982
0.210 0.030 0.980
0.230 0.030 0.978
0.250 0.030 0.976
0.270 0.030 0.975
0.290 0.030 0.973
0.310 0.030 0.971
0.330 0.030 0.969
0.350 0.030 0.967
0.370 0.030 0.965
0.390 0.030 0.963
0.410 0.030 0.961
0.430 0.030 0.959
0.450 0.030 0.957
0.470 0.030 0.955
0.490 0.030 0.953
0.510 0.030 0.950
0.530 0.030 0.948
0.550 0.030 0.945
0.570 0.030 0.942
0.590 0.030 0.939
0.610 0.030 0.936
0.630 0.030 0.933
0.650 0.030 0.929
0.670 0.030 0.925
0.690 0.030 0.920
0.710 0.030 0.914
0.730 0.030 0.908
0.750 0.030 0.902
0.770 0.030 0.894
0.790 0.030 0.884
0.810 0.030 0.873
0.830 0.030 0.859
0.850 0.030 0.842
0.870 0.030 0.821
0.890 0.030 0.793
0.910 0.030 0.755
0.930 0.030 0.702
0.950 0.030 0.623
0.970 0.030 0.500
0.990 0.030 0.302
1.000 0.030 0.000
0.000 0.050 1.000
0.010 0.050 0.997
0.030 0.050 0.995
0.050 0.050 0.992
0.070 0.050 0.989
0.090 0.050 0.986
0.110 0.050 0.984
0.130 0.050 0.981
0.150 0.050 0.978
0.170 0.050 0.975
0.190 0.050 0.973
0.210 0.050 0.970
0.230 0.050 0.967
0.250 0.050 0.965
0.270 0.050 0.962
0.290 0.050 0.959
0.310 0.050 0.956
0.330 0.050 0.954
0.350 0.050 0.951
0.370 0.050 0.948
0.390 0.050 0.945
0.410 0.050 0.942
0.430 0.050 0.939
0.450 0.050 0.936
0.470 0.050 0.933
0.490 0.050 0.929
0.510 0.050 0.926
0.530 0.050 0.922
0.550 0.050 0.918
0.570 0.050 0.914
